date,category,amount,type,note
2025-09-02,恋爱,15.2,expense,外卖
2025-09-02,恋爱,25.6,expense,外卖
2025-09-01,学习,92.6,expense,书籍
2025-09-03,餐饮,11.2,expense,外卖
2025-09-02,恋爱,15.0,expense,礼物
2025-09-01,还款,18.8,expense,美团月付
2025-09-02,餐饮,5.7,expense,外卖
2025-09-04,恋爱,50.0,income,疯狂星期四
2025-09-04,恋爱,20.5,expense,外卖
2025-09-05,快递,18.0,expense,还手机
2025-09-05,金融,100.0,expense,定投
2025-09-05,餐饮,11.2,expense,外卖
2025-09-01,盈余,1000.0,income,暑假剩余
2025-09-01,订阅,21.0,expense,百度网盘续费
2025-09-03,项目,30.0,expense,服务器包月
2025-09-01,订阅,25.0,expense,iCloud
2025-09-02,恋爱,20.0,expense,转账
2025-09-05,恋爱,24.5,expense,外卖
2025-09-05,恋爱,31.8,expense,外卖
